TYPE,OBJECTID,year,month,dayinweek,hour,road,lanes,latitude,longitude,severity,severityString
Pedestrian,193254753,2019,11,7,18,Stewart AVE,4,39.941491,-82.983177,2,Incapacitating Injury
Pedestrian,193254758,2019,11,2,15,Bryden RD,4,39.960669,-82.981403,2,Incapacitating Injury
Pedestrian,193255096,2019,11,4,19,Cleveland AVE,4,40.081889,-82.951338,2,Incapacitating Injury
Pedestrian,193255927,2019,11,7,17,Karl RD,4,40.087231,-82.975303,2,Incapacitating Injury
Pedestrian,193255929,2019,11,6,16,Clime RD,2,39.927589,-83.090499,2,Incapacitating Injury
Pedestrian,193257287,2019,12,2,8,WESBURY PARK AVE,4,40.092859,-83.082454,2,Incapacitating Injury
Pedestrian,193259147,2019,12,3,23,Como AVE,2,40.02571,-82.985673,1,Fatal
Pedestrian,193259717,2019,12,3,19,17th AVE,2,39.999089,-82.952257,1,Fatal
Pedestrian,193038510,2019,3,1,21,Eakin RD,2,39.937634,-83.067257,1,Fatal
Pedestrian,193268343,2019,12,4,19,5th AVE,2,39.984846,-82.923929,1,Fatal
Pedestrian,193272500,2019,12,1,3,TUSSING RD,2,39.927014,-82.824006,2,Incapacitating Injury
Pedestrian,193281505,2019,12,5,18,Orel AVE,2,39.955808,-83.085851,2,Incapacitating Injury
Pedestrian,193282338,2019,12,6,16,Olentangy River RD,4,40.05512,-83.033823,2,Incapacitating Injury
Pedestrian,193283392,2019,12,6,4,IR 670.0,6,39.975431,-82.999954,1,Fatal
Pedestrian,193049932,2019,3,1,14,HAGUE AVE,2,39.95247,-83.073751,2,Incapacitating Injury
Pedestrian,193286012,2019,12,1,1,5th AVE,4,39.987094,-83.005511,2,Incapacitating Injury
Pedestrian,193051446,2019,4,7,18,MORSE RD,6,40.060877,-82.982727,2,Incapacitating Injury
Pedestrian,193051606,2019,4,7,23,High ST,4,39.936839,-82.996091,2,Incapacitating Injury
Pedestrian,193054356,2019,4,5,13,ROBERTS RD,2,40.003804,-83.15694,1,Fatal
Pedestrian,194071164,2019,3,6,16,CLEVELAND AVE,4,40.038981,-82.961821,2,Incapacitating Injury
Pedestrian,194074488,2019,3,5,20,SULLIVANT AVE,2,39.940561,-83.125058,2,Incapacitating Injury
Pedestrian,203042971,2020,3,5,23,HARRISBURG PKWY,2,39.939022,-83.040941,2,Incapacitating Injury
Pedestrian,203043528,2020,3,3,7,Sullivant AVE,2,39.943747,-83.073132,2,Incapacitating Injury
Pedestrian,193059863,2019,4,1,4,IR 270,4,39.980956,-83.118822,2,Incapacitating Injury
Pedestrian,193060134,2019,4,7,21,SULLIVANT AVE,2,39.943631,-83.074495,2,Incapacitating Injury
Pedestrian,194080351,2019,2,3,20,CHATTERTON RD,2,39.914404,-82.85616,2,Incapacitating Injury
Pedestrian,193062625,2019,4,2,20,Henderson RD,4,40.054198,-83.067574,2,Incapacitating Injury
Pedestrian,203049283,2020,3,6,15,Summit ST,2,40.010144,-83.000293,2,Incapacitating Injury
Pedestrian,193067419,2019,4,2,19,JAMES RD,4,39.946856,-82.915586,2,Incapacitating Injury
Pedestrian,203053200,2020,3,2,6,Sullivant AVE,4,39.94202,-83.107022,2,Incapacitating Injury
