TYPE,OBJECTID,year,month,dayinweek,hour,road,lanes,latitude,longitude,severity,severityString
Pedestrian,203042542,2020,3,3,7,Wilson RD,4,39.942712,-83.094268,3,Non-Incapacitating Injury
Pedestrian,203042971,2020,3,5,23,HARRISBURG PKWY,2,39.939022,-83.040941,2,Incapacitating Injury
Pedestrian,203043528,2020,3,3,7,Sullivant AVE,2,39.943747,-83.073132,2,Incapacitating Injury
Pedestrian,203045465,2020,3,7,14,Livingston AVE,4,39.949678,-82.970091,4,Possible Injury
Pedestrian,203045467,2020,3,7,14,HIGH ST,4,40.016692,-83.01194,3,Non-Incapacitating Injury
Pedestrian,203049283,2020,3,6,15,Summit ST,2,40.010144,-83.000293,2,Incapacitating Injury
Pedestrian,203051595,2020,3,4,16,High ST,4,39.988128,-83.005735,3,Non-Incapacitating Injury
Pedestrian,203052129,2020,3,4,14,CENTRAL AVE,4,39.95573,-83.037762,4,Possible Injury
Pedestrian,203053200,2020,3,2,6,Sullivant AVE,4,39.94202,-83.107022,2,Incapacitating Injury
Pedestrian,203054099,2020,3,2,23,14TH AVE,2,39.997974,-82.980489,3,Non-Incapacitating Injury
Pedestrian,203054184,2020,3,3,22,Livingston AVE,2,39.946435,-82.906306,4,Possible Injury
Pedestrian,203055862,2020,4,6,12,BROAD ST SR 16,2,39.976597,-82.932454,2,Incapacitating Injury
Pedestrian,203057344,2020,4,4,21,STELZER RD,4,39.98632,-82.914216,4,Possible Injury
Pedestrian,203058044,2020,4,6,13,Sullivant AVE,2,39.94369,-83.07436,3,Non-Incapacitating Injury
Pedestrian,203058429,2020,3,2,16,BROAD ST SR 16,4,39.973373,-82.901029,3,Non-Incapacitating Injury
Pedestrian,203058437,2020,4,6,17,Mound ST,4,39.946891,-83.031776,3,Non-Incapacitating Injury
Pedestrian,203058669,2020,4,4,19,Autumn Village DR,2,39.92311,-83.05509,3,Non-Incapacitating Injury
Pedestrian,203059397,2020,4,2,11,MAIN ST,4,39.957213,-82.938923,4,Possible Injury
Pedestrian,203060084,2020,4,3,15,Tamarack BLVD,4,40.064933,-82.970085,3,Non-Incapacitating Injury
Pedestrian,203060520,2020,4,2,12,Sunbury RD,2,40.064252,-82.914719,1,Fatal
Pedestrian,203062317,2020,4,6,11,SCRIVEN AVE,2,39.940346,-83.112,4,Possible Injury
Pedestrian,203062658,2020,4,7,12,Midland AVE,2,39.946576,-83.057282,3,Non-Incapacitating Injury
Pedestrian,203063344,2020,4,2,21,Mithoff ST,2,39.937968,-82.975345,3,Non-Incapacitating Injury
Pedestrian,203063502,2020,4,2,20,US ROUTE 40 W   40,6,39.952793,-83.116217,3,Non-Incapacitating Injury
Pedestrian,203063878,2020,4,2,13,MAIN ST US 40,4,39.956045,-82.897126,3,Non-Incapacitating Injury
Pedestrian,203063882,2020,4,3,16,MAIN ST US 40,4,39.956162,-82.900623,4,Possible Injury
Pedestrian,203065846,2020,4,7,3,4th ST,2,40.008503,-82.998151,1,Fatal
Pedestrian,203066277,2020,2,6,9,Chattermark DR,2,39.87761,-82.99921,3,Non-Incapacitating Injury
Pedestrian,203066848,2020,4,2,11,Nashoba AVE,2,39.953799,-83.051469,3,Non-Incapacitating Injury
Pedestrian,203067391,2020,4,3,16,Broad ST,2,39.957711,-83.038173,3,Non-Incapacitating Injury
Pedestrian,203067745,2020,4,2,19,SR 161,4,40.08508,-82.95104,2,Incapacitating Injury
Pedestrian,203069242,2020,4,3,14,Cleveland AVE,4,40.031326,-82.964037,3,Non-Incapacitating Injury
Pedestrian,203069544,2020,5,7,20,CENTRAL AVE,6,39.948007,-83.036271,3,Non-Incapacitating Injury
Pedestrian,203069548,2020,5,6,16,Sullivant AVE,4,39.942484,-83.097494,4,Possible Injury
Pedestrian,203069666,2020,5,7,16,EVELYTON RD,1,40.055628,-82.83178,4,Possible Injury
Pedestrian,203070080,2020,4,4,21,Hall RD,2,39.930811,-83.140865,3,Non-Incapacitating Injury
Pedestrian,203070646,2020,5,3,22,Cleveland AVE,4,40.082657,-82.95128,1,Fatal
Pedestrian,203070856,2020,5,3,16,James RD,4,39.965478,-82.914048,3,Non-Incapacitating Injury
Pedestrian,203070946,2020,5,7,18,PLYMOUTH AVE,2,39.962939,-82.908843,3,Non-Incapacitating Injury
Pedestrian,203071237,2020,3,5,14,BETH ANN DR,2,39.884511,-82.994784,2,Incapacitating Injury
Pedestrian,203071924,2020,5,5,23,Main ST,2,39.95798,-82.97465,4,Possible Injury
Pedestrian,203072281,2020,4,1,21,Lane AVE,4,40.00607,-83.009258,3,Non-Incapacitating Injury
Pedestrian,203072319,2020,5,6,13,Oakland Park AVE,4,40.033254,-83.016317,3,Non-Incapacitating Injury
Pedestrian,203072472,2020,5,1,16,Rexwood DR,1,40.07207,-82.86397,4,Possible Injury
Pedestrian,203072990,2020,5,1,17,Glenmawr AVE,2,40.051745,-82.996823,3,Non-Incapacitating Injury
Pedestrian,203073210,2020,5,6,11,PROSPECT ST,2,39.965149,-83.065597,3,Non-Incapacitating Injury
Pedestrian,203074040,2020,5,4,15,5TH AVE,4,39.986115,-82.98056,3,Non-Incapacitating Injury
Pedestrian,203074060,2020,5,4,17,BIERL DR,4,39.921012,-83.145384,3,Non-Incapacitating Injury
Pedestrian,203075800,2020,5,6,17,MAIN ST,4,39.954968,-82.819157,3,Non-Incapacitating Injury
Pedestrian,203076088,2020,5,7,15,High ST,4,39.981778,-83.00449,3,Non-Incapacitating Injury
Pedestrian,203077208,2020,5,3,8,BROAD ST,4,39.972229,-82.91244,5,Property Damage
Pedestrian,203078078,2020,5,3,14,BROAD ST US 40,6,39.953216,-83.110371,4,Possible Injury
Pedestrian,203078138,2020,5,7,23,Weber RD,4,40.023695,-82.987238,4,Possible Injury
Pedestrian,203078178,2020,5,4,18,IFO 1540 BRIARWOOD AVE,2,40.016506,-82.969226,3,Non-Incapacitating Injury
