OBJECTID,MaxInjuryS,CaseYear,CrashDate,CrashTimeF,CrashType,UTMEasting,UTMNorthin,OnStreet
19088192,U - UNKNOWN,2022,11/14/2022,9:00 AM,COLLISION WITH BICYCLIST,597617.8465,4730172.717,COMPUTER DRIVE WEST
19071788,U - UNKNOWN,2022,12/8/2022,6:50 AM,COLLISION WITH PEDESTRIAN,601779.37,4724179.87,LIVINGSTON AVENUE
19066478,U - UNKNOWN,2022,12/3/2022,4:30 PM,COLLISION WITH PEDESTRIAN,601718.32,4723168.03,SOUTH SWAN STREET
19019943,U - UNKNOWN,2022,11/2/2022,3:21 PM,COLLISION WITH BICYCLIST,600366.77,4724196.47,QUAIL STREET
18984220,U - UNKNOWN,2022,10/7/2022,9:21 AM,COLLISION WITH BICYCLIST,605776.71,4731477,8TH AVENUE
19003977,U - UNKNOWN,2022,9/26/2022,6:18 PM,COLLISION WITH BICYCLIST,606095.37,4732125.44,5TH AVENUE
18952488,U - UNKNOWN,2022,9/9/2022,7:43 PM,COLLISION WITH PEDESTRIAN,606866.81,4732450.55,LOWER HUDSON AVENUE
18902043,U - UNKNOWN,2022,8/3/2022,12:26 PM,COLLISION WITH PEDESTRIAN,599277.99,4723010.8,NEW SCOTLAND AVENUE
18894343,U - UNKNOWN,2022,7/26/2022,4:45 PM,COLLISION WITH PEDESTRIAN,600112.2001,4721805.18,FEDERAL STREET
18887656,U - UNKNOWN,2022,7/22/2022,8:00 AM,COLLISION WITH PEDESTRIAN,599563.1601,4729850.86,MARIA DRIVE
18920202,U - UNKNOWN,2022,6/21/2022,4:46 PM,COLLISION WITH BICYCLIST,595110.2701,4726106.7,FULLER ROAD
18896371,U - UNKNOWN,2022,7/1/2022,2:09 AM,COLLISION WITH OTHER PEDESTRIAN,600329.0197,4721936.147,DELAWARE AVENUE
18738447,,2022,7/6/2022,1:53 PM,COLLISION WITH BICYCLIST,599040.0315,4730744.952,MARGARET DR
18737638,,2022,7/1/2022,6:32 AM,COLLISION WITH PEDESTRIAN,602395.74,4725314.63,ALBANY SHAKER RD
18734659,,2022,6/30/2022,12:45 AM,COLLISION WITH PEDESTRIAN,599645.8275,4721562.363,DELAWARE AVE
18687005,,2022,5/23/2022,9:45 PM,COLLISION WITH PEDESTRIAN,606475.7595,4736052.99,SARATOGA ST
18683890,,2022,5/13/2022,4:12 PM,COLLISION WITH PEDESTRIAN,597721.8,4702869.7,MAIN ST
18674589,,2022,5/12/2022,2:39 PM,COLLISION WITH BICYCLIST,594352.6718,4718854.318,SAINT CLAIR DR
18658864,,2022,3/23/2022,5:20 AM,COLLISION WITH PEDESTRIAN,603784.4834,4741277.928,NEW LOUDON RD
18655667,,2022,4/22/2022,6:05 PM,COLLISION WITH BICYCLIST,601054.0796,4723641.236,WASHINGTON AVE
18635459,,2022,3/30/2022,2:30 PM,COLLISION WITH PEDESTRIAN,600699.05,4724198.29,CENTRAL AVE
18625329,,2022,3/25/2022,5:34 PM,COLLISION WITH OTHER PEDESTRIAN,600940.9132,4724329.329,CLINTON AVE
18618021,,2022,3/16/2022,8:34 PM,COLLISION WITH BICYCLIST,600495.2713,4724669.048,CLINTON AVE
18608799,,2022,3/8/2022,4:02 PM,COLLISION WITH BICYCLIST,600197.8538,4724775.61,CENTRAL AVE
18573445,,2022,2/12/2022,5:26 PM,COLLISION WITH PEDESTRIAN,606683.66,4736540.07,ONTARIO ST
18565290,,2022,2/3/2022,7:59 PM,COLLISION WITH PEDESTRIAN,594154.4886,4731752.412,CENTRAL AVE
18529635,,2022,1/5/2022,4:59 PM,COLLISION WITH PEDESTRIAN,601162.9058,4733798.893,TROY SCHENECTADY RD
19103792,B - INJURY,2022,12/14/2022,11:43 PM,COLLISION WITH PEDESTRIAN,598068.3956,4727223.338,CENTRAL AVENUE
19108372,B - INJURY,2022,8/15/2022,12:08 PM,COLLISION WITH BICYCLIST,597236.1501,4728214.811,AHL AVENUE
19093462,B - INJURY,2022,8/15/2022,12:08 PM,COLLISION WITH BICYCLIST,597236.1501,4728214.811,AHL AVENUE
19090148,A - SERIOUS INJURY,2022,12/12/2022,4:00 PM,COLLISION WITH PEDESTRIAN,596725.09,4728778.88,NOLAN ROAD
19090044,B - INJURY,2022,12/27/2022,7:52 AM,COLLISION WITH PEDESTRIAN,598037,4722454.58,VICTORIA WAY
