TYPE,OBJECTID,year,month,dayinweek,hour,road,lanes,latitude,longitude,severity,severityString
Cyclist,203041681,2020,3,2,8,SUMMIT ST,2,39.994536,-83.001526,3,Non-Incapacitating Injury
Cyclist,203049141,2020,3,6,1,Town ST,2,39.960396,-82.986454,3,Non-Incapacitating Injury
Cyclist,203056924,2020,4,3,21,18th ST,2,39.955431,-82.976353,3,Non-Incapacitating Injury
Cyclist,203062058,2020,4,4,21,Lockbourne RD,2,39.912706,-82.966213,2,Incapacitating Injury
Cyclist,203064107,2020,4,1,14,Kelton AVE,2,39.952967,-82.95895,3,Non-Incapacitating Injury
Cyclist,203065936,2020,4,7,12,HAYDEN RUN RD,4,40.065387,-83.096674,3,Non-Incapacitating Injury
Cyclist,203066600,2020,3,4,16,MAIN ST,4,39.955008,-82.816663,3,Non-Incapacitating Injury
Cyclist,203069046,2020,4,3,16,SAWMILL RD,4,40.088477,-83.091901,3,Non-Incapacitating Injury
Cyclist,203069538,2020,5,6,21,HARLEM RD,2,40.087596,-82.835826,4,Possible Injury
Cyclist,203070016,2020,5,2,16,Broad ST,2,39.95819,-83.034185,3,Non-Incapacitating Injury
Cyclist,203070471,2020,5,3,17,Broad ST,4,39.958408,-83.03201,3,Non-Incapacitating Injury
Cyclist,203071900,2020,5,6,16,Creekside DR,2,39.918344,-83.073553,4,Possible Injury
Cyclist,203072134,2020,5,6,19,HALL RD,2,39.930213,-83.126774,3,Non-Incapacitating Injury
Cyclist,203072167,2020,5,7,14,Summit ST,2,39.995497,-83.001474,3,Non-Incapacitating Injury
Cyclist,203077098,2020,5,3,7,HAFT DR,4,39.955148,-82.806945,5,Property Damage
Cyclist,203079506,2020,5,6,18,LINCOLN CIR,4,40.018634,-82.874229,5,Property Damage
Cyclist,203084123,2020,6,2,13,Richardson AVE,2,39.942547,-83.066588,3,Non-Incapacitating Injury
Cyclist,203084905,2020,6,2,19,Dyer LN,2,39.94032,-83.123631,4,Possible Injury
Cyclist,203085288,2020,3,4,19,HAMILTON RD SR 317,4,39.960197,-82.8764,3,Non-Incapacitating Injury
Cyclist,203087775,2020,6,6,18,North Broadway ST,4,40.031742,-83.021244,3,Non-Incapacitating Injury
Cyclist,203089028,2020,5,1,16,PENFIELD RD,2,39.933682,-82.904509,3,Non-Incapacitating Injury
Cyclist,203089315,2020,6,7,14,Renner RD,2,39.982007,-83.156035,4,Possible Injury
Cyclist,203089705,2020,6,2,19,Colton RD,2,39.89288,-82.991281,3,Non-Incapacitating Injury
Cyclist,203091068,2020,6,5,9,Thomas LN,2,40.032768,-83.0382,4,Possible Injury
Cyclist,203091834,2020,6,6,14,Cleveland AVE,2,40.004756,-82.972889,3,Non-Incapacitating Injury
Cyclist,203091919,2020,6,5,20,Arborwood DR,2,40.084288,-82.986105,4,Possible Injury
Cyclist,203092168,2020,6,2,21,HILLLIARD ROME RD,2,40.003748,-83.15391,4,Possible Injury
Cyclist,203092422,2020,6,5,19,High ST,4,39.985293,-83.005193,3,Non-Incapacitating Injury
Cyclist,203093033,2020,6,6,12,High ST,4,39.890838,-82.997,4,Possible Injury
Cyclist,203093983,2020,6,5,20,4th ST,2,39.96069,-82.995868,4,Possible Injury
Cyclist,203095405,2020,6,1,20,Beulah RD,2,40.016726,-82.99397,3,Non-Incapacitating Injury
Cyclist,203099043,2020,6,3,21,5th AVE,4,39.986177,-82.982078,2,Incapacitating Injury
Cyclist,203099338,2020,6,4,20,ELBERN AVE,2,39.967229,-82.901632,3,Non-Incapacitating Injury
Cyclist,203099789,2020,6,4,16,Smoky Row RD,2,40.116744,-83.067108,4,Possible Injury
Cyclist,203100539,2020,6,2,17,HARRISBURG PIKE,4,39.943952,-83.037113,3,Non-Incapacitating Injury
Cyclist,203101440,2020,6,2,19,Earnings DR,2,39.913375,-82.842694,5,Property Damage
Cyclist,203102041,2020,6,7,17,Woodland AVE,2,40.003966,-82.954263,3,Non-Incapacitating Injury
Cyclist,203103098,2020,6,2,0,11th AVE,4,39.994175,-82.993206,3,Non-Incapacitating Injury
Cyclist,203103234,2020,6,2,14,Neil AVE,3,39.973861,-83.01044,4,Possible Injury
Cyclist,203103529,2020,6,5,12,CROFTON PL,2,39.966898,-82.807509,5,Property Damage
